Time,Displacement,Force
(s),(in),(lbf)
"0.0000","0.0000","-0.0001"
"0.0200","0.0014","0.0082"
"0.0400","0.0082","0.0265"
"0.0600","0.0159","0.0139"
"0.0800","0.0224","-0.0034"
"0.1000","0.0287","-0.0036"
"0.1200","0.0351","0.0003"
"0.1400","0.0417","0.0006"
"0.1600","0.0482","0.0008"
"0.1800","0.0548","0.0009"
"0.2000","0.0614","0.0007"
"0.2200","0.0680","0.0009"
"0.2400","0.0746","0.0010"
"0.2600","0.0812","0.0014"
"0.2800","0.0878","0.0013"
"0.3000","0.0944","0.0008"
"0.3200","0.1011","0.0016"
"0.3400","0.1077","0.0018"
"0.3600","0.1143","0.0013"
"0.3800","0.1210","0.0017"
"0.4000","0.1276","0.0018"
"0.4200","0.1343","0.0016"
"0.4400","0.1410","0.0023"
"0.4600","0.1476","0.0023"
"0.4800","0.1543","0.0018"
"0.5000","0.1609","0.0025"
"0.5200","0.1676","0.0029"
"0.5400","0.1742","0.0026"
"0.5600","0.1809","0.0025"
"0.5800","0.1876","0.0030"
"0.6000","0.1942","0.0033"
"0.6200","0.2009","0.0034"
"0.6400","0.2075","0.0037"
"0.6600","0.2142","0.0035"
"0.6800","0.2209","0.0037"
"0.7000","0.2275","0.0044"
"0.7200","0.2342","0.0044"
"0.7400","0.2409","0.0043"
"0.7600","0.2476","0.0048"
"0.7800","0.2542","0.0052"
"0.8000","0.2609","0.0051"
"0.8200","0.2676","0.0051"
"0.8400","0.2742","0.0056"
"0.8600","0.2809","0.0058"
"0.8800","0.2876","0.0056"
"0.9000","0.2942","0.0062"
"0.9200","0.3009","0.0062"
"0.9400","0.3076","0.0062"
"0.9600","0.3143","0.0064"
"0.9800","0.3209","0.0064"
"1.0000","0.3275","0.0064"
"1.0200","0.3342","0.0071"
"1.0400","0.3409","0.0072"
"1.0600","0.3475","0.0071"
"1.0800","0.3542","0.0072"
"1.1000","0.3609","0.0073"
"1.1200","0.3676","0.0074"
"1.1400","0.3742","0.0074"
"1.1600","0.3809","0.0080"
"1.1800","0.3876","0.0081"
"1.2000","0.3942","0.0078"
"1.2200","0.4009","0.0080"
"1.2400","0.4075","0.0085"
"1.2600","0.4142","0.0083"
"1.2800","0.4209","0.0082"
"1.3000","0.4276","0.0089"
"1.3200","0.4342","0.0090"
"1.3400","0.4409","0.0088"
"1.3600","0.4476","0.0091"
"1.3800","0.4542","0.0089"
"1.4000","0.4609","0.0091"
"1.4200","0.4675","0.0095"
"1.4400","0.4742","0.0095"
"1.4600","0.4809","0.0097"
"1.4800","0.4876","0.0098"
"1.5000","0.4942","0.0099"
"1.5200","0.5009","0.0098"
"1.5400","0.5075","0.0098"
"1.5600","0.5142","0.0102"
"1.5800","0.5209","0.0104"
"1.6000","0.5275","0.0102"
"1.6200","0.5342","0.0104"
"1.6400","0.5409","0.0107"
"1.6600","0.5475","0.0106"
"1.6800","0.5542","0.0107"
"1.7000","0.5609","0.0109"
"1.7200","0.5675","0.0111"
"1.7400","0.5742","0.0110"
"1.7600","0.5809","0.0112"
"1.7800","0.5876","0.0113"
"1.8000","0.5942","0.0112"
"1.8200","0.6009","0.0114"
"1.8400","0.6075","0.0115"
"1.8600","0.6142","0.0114"
"1.8800","0.6209","0.0119"
"1.9000","0.6276","0.0120"
"1.9200","0.6342","0.0116"
"1.9400","0.6409","0.0118"
"1.9600","0.6475","0.0119"
"1.9800","0.6542","0.0122"
"2.0000","0.6608","0.0122"
"2.0200","0.6675","0.0124"
"2.0400","0.6742","0.0124"
"2.0600","0.6809","0.0122"
"2.0800","0.6876","0.0122"
"2.1000","0.6942","0.0125"
"2.1200","0.7009","0.0126"
"2.1400","0.7075","0.0127"
"2.1600","0.7142","0.0128"
"2.1800","0.7209","0.0128"
"2.2000","0.7275","0.0128"
"2.2200","0.7342","0.0130"
"2.2400","0.7409","0.0130"
"2.2600","0.7475","0.0128"
"2.2800","0.7542","0.0133"
"2.3000","0.7609","0.0134"
"2.3200","0.7676","0.0131"
"2.3400","0.7742","0.0133"
"2.3600","0.7809","0.0133"
"2.3800","0.7876","0.0134"
"2.4000","0.7942","0.0134"
"2.4200","0.8009","0.0136"
"2.4400","0.8075","0.0138"
"2.4600","0.8142","0.0137"
"2.4800","0.8209","0.0136"
"2.5000","0.8276","0.0138"
"2.5200","0.8342","0.0138"
"2.5400","0.8409","0.0140"
"2.5600","0.8475","0.0138"
"2.5800","0.8542","0.0139"
"2.6000","0.8608","0.0142"
"2.6200","0.8675","0.0142"
"2.6400","0.8742","0.0142"
"2.6600","0.8809","0.0142"
"2.6800","0.8875","0.0144"
"2.7000","0.8942","0.0145"
"2.7200","0.9009","0.0143"
"2.7400","0.9075","0.0145"
"2.7600","0.9142","0.0147"
"2.7800","0.9209","0.0145"
"2.8000","0.9276","0.0144"
"2.8200","0.9342","0.0146"
"2.8400","0.9409","0.0148"
"2.8600","0.9476","0.0148"
"2.8800","0.9542","0.0145"
"2.9000","0.9609","0.0148"
"2.9200","0.9675","0.0149"
"2.9400","0.9742","0.0150"
"2.9600","0.9809","0.0152"
"2.9800","0.9875","0.0152"
"3.0000","0.9942","0.0150"
"3.0200","1.0009","0.0151"
"3.0400","1.0075","0.0150"
"3.0600","1.0142","0.0152"
"3.0800","1.0209","0.0153"
"3.1000","1.0276","0.0152"
"3.1200","1.0342","0.0153"
"3.1400","1.0409","0.0154"
"3.1600","1.0475","0.0155"
"3.1800","1.0542","0.0154"
"3.2000","1.0609","0.0154"
"3.2200","1.0675","0.0155"
"3.2400","1.0742","0.0156"
"3.2600","1.0809","0.0156"
"3.2800","1.0876","0.0155"
"3.3000","1.0942","0.0156"
"3.3200","1.1009","0.0158"
